"Step","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MIN","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MAX","Yahoo b512 l0.0005 -- qx8h22fz - total_loss","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MIN","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MAX"
"222","1667.08203125","1667.08203125","1667.08203125","1847.884521484375","1847.884521484375","1847.884521484375"
"223","1648.0511474609375","1648.0511474609375","1648.0511474609375","1833.8182373046875","1833.8182373046875","1833.8182373046875"
"224","1666.255126953125","1666.255126953125","1666.255126953125","1837.437255859375","1837.437255859375","1837.437255859375"
"225","1619.7889404296875","1619.7889404296875","1619.7889404296875","1805.7454833984375","1805.7454833984375","1805.7454833984375"
"226","1666.5625","1666.5625","1666.5625","1871.7508544921875","1871.7508544921875","1871.7508544921875"
"227","1626.53125","1626.53125","1626.53125","1800.279541015625","1800.279541015625","1800.279541015625"
"228","1626.3369140625","1626.3369140625","1626.3369140625","1784.3333740234375","1784.3333740234375","1784.3333740234375"
"229","1604.8646240234375","1604.8646240234375","1604.8646240234375","1795.5390625","1795.5390625","1795.5390625"
"230","1627.2874755859375","1627.2874755859375","1627.2874755859375","1810.3092041015625","1810.3092041015625","1810.3092041015625"
"231","1639.2738037109375","1639.2738037109375","1639.2738037109375","1802.286376953125","1802.286376953125","1802.286376953125"
"232","1643.7420654296875","1643.7420654296875","1643.7420654296875","1830.424072265625","1830.424072265625","1830.424072265625"
"233","1616.581787109375","1616.581787109375","1616.581787109375","1784.978515625","1784.978515625","1784.978515625"
"234","1592.3505859375","1592.3505859375","1592.3505859375","1761.0584716796875","1761.0584716796875","1761.0584716796875"
"235","1619.6907958984375","1619.6907958984375","1619.6907958984375","1827.020751953125","1827.020751953125","1827.020751953125"
"236","1639.607421875","1639.607421875","1639.607421875","1809.0621337890625","1809.0621337890625","1809.0621337890625"
"237","1645.643798828125","1645.643798828125","1645.643798828125","1818.517578125","1818.517578125","1818.517578125"
"238","1647.86328125","1647.86328125","1647.86328125","1844.2138671875","1844.2138671875","1844.2138671875"
"239","1595.8524169921875","1595.8524169921875","1595.8524169921875","1779.4158935546875","1779.4158935546875","1779.4158935546875"
"240","1612.3743896484375","1612.3743896484375","1612.3743896484375","1801.1072998046875","1801.1072998046875","1801.1072998046875"
"241","1621.0279541015625","1621.0279541015625","1621.0279541015625","1788.43798828125","1788.43798828125","1788.43798828125"
