"Step","Yahoo b512 l0.0005 -- qx8h22fz - hr_5","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_10","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_20","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MAX"
"9810","0.004430620794718802","0.004430620794718802","0.004430620794718802","0.003732385425923575","0.003732385425923575","0.003732385425923575","0.003281706233337565","0.003281706233337565","0.003281706233337565"
"9965","0.004202107401294909","0.004202107401294909","0.004202107401294909","0.0036308239177351783","0.0036308239177351783","0.0036308239177351783","0.0032023613050653804","0.0032023613050653804","0.0032023613050653804"
"10066","0.004481401548813","0.004481401548813","0.004481401548813","0.003732385425923575","0.003732385425923575","0.003732385425923575","0.0032214040878507048","0.0032214040878507048","0.0032214040878507048"
"10167","0.004354449663577504","0.004354449663577504","0.004354449663577504","0.003732385425923575","0.003732385425923575","0.003732385425923575","0.0032118826964580424","0.0032118826964580424","0.0032118826964580424"
"10268","0.004392535229148153","0.004392535229148153","0.004392535229148153","0.0036816046718293766","0.0036816046718293766","0.0036816046718293766","0.0032150564935889297","0.0032150564935889297","0.0032150564935889297"
"10369","0.004481401548813","0.004481401548813","0.004481401548813","0.0038085565570648724","0.0038085565570648724","0.0038085565570648724","0.0033102704075155514","0.0033102704075155514","0.0033102704075155514"
"10470","0.00416402183572426","0.00416402183572426","0.00416402183572426","0.0036879522660911513","0.0036879522660911513","0.0036879522660911513","0.0032626634505522408","0.0032626634505522408","0.0032626634505522408"
"10571","0.004329059286530405","0.004329059286530405","0.004329059286530405","0.0037196902374000253","0.0037196902374000253","0.0037196902374000253","0.003278532436206678","0.003278532436206678","0.003278532436206678"
"10672","0.004481401548813","0.004481401548813","0.004481401548813","0.0037196902374000253","0.0037196902374000253","0.0037196902374000253","0.003278532436206678","0.003278532436206678","0.003278532436206678"
"10773","0.004379840040624603","0.004379840040624603","0.004379840040624603","0.0036942998603529263","0.0036942998603529263","0.0036942998603529263","0.003291227624730227","0.003291227624730227","0.003291227624730227"
"10874","0.004341754475053954","0.004341754475053954","0.004341754475053954","0.0035736955693792052","0.0035736955693792052","0.0035736955693792052","0.0032436206677669164","0.0032436206677669164","0.0032436206677669164"
"10975","0.004316364098006856","0.004316364098006856","0.004316364098006856","0.0036879522660911513","0.0036879522660911513","0.0036879522660911513","0.003240446870636029","0.003240446870636029","0.003240446870636029"
"11076","0.004367144852101054","0.004367144852101054","0.004367144852101054","0.0036942998603529263","0.0036942998603529263","0.0036942998603529263","0.0032721848419449027","0.0032721848419449027","0.0032721848419449027"
"11177","0.004430620794718802","0.004430620794718802","0.004430620794718802","0.003675257077567602","0.003675257077567602","0.003675257077567602","0.0032721848419449027","0.0032721848419449027","0.0032721848419449027"
"11278","0.004506791925860099","0.004506791925860099","0.004506791925860099","0.0037514282087088993","0.0037514282087088993","0.0037514282087088993","0.003297575218992002","0.003297575218992002","0.003297575218992002"
"11379","0.004557572679954297","0.004557572679954297","0.004557572679954297","0.003821251745588422","0.003821251745588422","0.003821251745588422","0.003322965596039101","0.003322965596039101","0.003322965596039101"
"11480","0.004367144852101054","0.004367144852101054","0.004367144852101054","0.0037704709914942237","0.0037704709914942237","0.0037704709914942237","0.0032880538275993397","0.0032880538275993397","0.0032880538275993397"
"11581","0.004430620794718802","0.004430620794718802","0.004430620794718802","0.0038593373111590707","0.0038593373111590707","0.0038593373111590707","0.0033197917989082138","0.0033197917989082138","0.0033197917989082138"
"11682","0.004633743811095594","0.004633743811095594","0.004633743811095594","0.0038339469341119718","0.0038339469341119718","0.0038339469341119718","0.0032848800304684524","0.0032848800304684524","0.0032848800304684524"
"11783","0.004684524565189793","0.004684524565189793","0.004684524565189793","0.0037196902374000253","0.0037196902374000253","0.0037196902374000253","0.003265837247683128","0.003265837247683128","0.003265837247683128"
"11938","0.004379840040624603","0.004379840040624603","0.004379840040624603","0.0037450806144471247","0.0037450806144471247","0.0037450806144471247","0.0032055351021962677","0.0032055351021962677","0.0032055351021962677"
"12039","0.004329059286530405","0.004329059286530405","0.004329059286530405","0.0037387330201853496","0.0037387330201853496","0.0037387330201853496","0.0031896661165418307","0.0031896661165418307","0.0031896661165418307"
"12140","0.004303668909483306","0.004303668909483306","0.004303668909483306","0.0037260378316618004","0.0037260378316618004","0.0037260378316618004","0.0032372730735051414","0.0032372730735051414","0.0032372730735051414"
"12241","0.004227497778342008","0.004227497778342008","0.004227497778342008","0.0037260378316618004","0.0037260378316618004","0.0037260378316618004","0.003256315856290466","0.003256315856290466","0.003256315856290466"
"12342","0.004544877491430748","0.004544877491430748","0.004544877491430748","0.003903770470991494","0.003903770470991494","0.003903770470991494","0.0033324869874317635","0.0033324869874317635","0.0033324869874317635"
"12443","0.00446870636028945","0.00446870636028945","0.00446870636028945","0.0037958613685413227","0.0037958613685413227","0.0037958613685413227","0.003281706233337565","0.003281706233337565","0.003281706233337565"
"12544","0.004303668909483306","0.004303668909483306","0.004303668909483306","0.0036942998603529263","0.0036942998603529263","0.0036942998603529263","0.003307096610384664","0.003307096610384664","0.003307096610384664"
"12645","0.00446870636028945","0.00446870636028945","0.00446870636028945","0.0037196902374000253","0.0037196902374000253","0.0037196902374000253","0.003313444204646439","0.003313444204646439","0.003313444204646439"
"12746","0.004430620794718802","0.004430620794718802","0.004430620794718802","0.0037260378316618004","0.0037260378316618004","0.0037260378316618004","0.003281706233337565","0.003281706233337565","0.003281706233337565"
"12847","0.004519487114383648","0.004519487114383648","0.004519487114383648","0.0037958613685413227","0.0037958613685413227","0.0037958613685413227","0.003265837247683128","0.003265837247683128","0.003265837247683128"
"12948","0.0045321823029071985","0.0045321823029071985","0.0045321823029071985","0.003852989716897296","0.003852989716897296","0.003852989716897296","0.003256315856290466","0.003256315856290466","0.003256315856290466"
"13049","0.0045829630570013965","0.0045829630570013965","0.0045829630570013965","0.0038339469341119718","0.0038339469341119718","0.0038339469341119718","0.0032436206677669164","0.0032436206677669164","0.0032436206677669164"
"13150","0.00446870636028945","0.00446870636028945","0.00446870636028945","0.0037387330201853496","0.0037387330201853496","0.0037387330201853496","0.003278532436206678","0.003278532436206678","0.003278532436206678"
"13251","0.004887647581566586","0.004887647581566586","0.004887647581566586","0.003789513774279548","0.003789513774279548","0.003789513774279548","0.003370572553002412","0.003370572553002412","0.003370572553002412"
"13352","0.0045829630570013965","0.0045829630570013965","0.0045829630570013965","0.0038656849054208454","0.0038656849054208454","0.0038656849054208454","0.0033324869874317635","0.0033324869874317635","0.0033324869874317635"
"13453","0.004595658245524946","0.004595658245524946","0.004595658245524946","0.0037450806144471247","0.0037450806144471247","0.0037450806144471247","0.003281706233337565","0.003281706233337565","0.003281706233337565"
"13554","0.004456011171765901","0.004456011171765901","0.004456011171765901","0.003764123397232449","0.003764123397232449","0.003764123397232449","0.003307096610384664","0.003307096610384664","0.003307096610384664"
"13655","0.00449409673733655","0.00449409673733655","0.00449409673733655","0.003757775802970674","0.003757775802970674","0.003757775802970674","0.0033039228132537768","0.0033039228132537768","0.0033039228132537768"
"13756","0.00449409673733655","0.00449409673733655","0.00449409673733655","0.003757775802970674","0.003757775802970674","0.003757775802970674","0.0033451821759553127","0.0033451821759553127","0.0033451821759553127"
"13911","0.004316364098006856","0.004316364098006856","0.004316364098006856","0.0037260378316618004","0.0037260378316618004","0.0037260378316618004","0.003256315856290466","0.003256315856290466","0.003256315856290466"
"14012","0.004329059286530405","0.004329059286530405","0.004329059286530405","0.0036816046718293766","0.0036816046718293766","0.0036816046718293766","0.0032055351021962677","0.0032055351021962677","0.0032055351021962677"
"14113","0.004392535229148153","0.004392535229148153","0.004392535229148153","0.0038339469341119718","0.0038339469341119718","0.0038339469341119718","0.003297575218992002","0.003297575218992002","0.003297575218992002"
"14214","0.004392535229148153","0.004392535229148153","0.004392535229148153","0.0036942998603529263","0.0036942998603529263","0.0036942998603529263","0.0032214040878507048","0.0032214040878507048","0.0032214040878507048"
"14315","0.004481401548813","0.004481401548813","0.004481401548813","0.003789513774279548","0.003789513774279548","0.003789513774279548","0.003294401421861115","0.003294401421861115","0.003294401421861115"
